abaca	абака
well-knit	крепко сколоченный
well-known	известный
well-lined	туго набитый (о бумажнике)
well-made	хорошо сложенный
well-mannered	(благо)воспитанный polite
well-marked	отчетливый
well-meaning	имеющий хорошие намерения
well-nigh	почти
well-off	состоятельный
well-oiled	хорошо смазанный
well-ordered	упорядоченный
well-paid	хорошо оплачиваемый
well-preserved	хорошо сохранившийся
well-proportioned	пропорциональный
well-read	начитанный
well-regulated	находящийся под надлежащим контролем
well-room	бювет
well-run	отлично действующий (о предприятии , лавке и т. п.)
